Outcome,Week End,Age Group,Unvaccinated Rate,Vaccinated Rate,Boosted Rate,Crude Vaccinated Ratio,Crude Boosted Ratio,Age-Adjusted Unvaccinated Rate,Age-Adjusted Vaccinated Rate,Age-Adjusted Boosted Rate,Age-Adjusted Vaccinated Ratio,Age-Adjusted Boosted Ratio,Population Unvaccinated,Population Vaccinated,Population Boosted,Outcome Unvaccinated,Outcome Vaccinated,Outcome Boosted,Age Group Min,Age Group Max
Deaths,01/01/2022,80+,64.4,43.5,11.2,1.5,5.8,,,,,,27932,20693,35560,18,9,4,80,200
Deaths,05/21/2022,12-17,0.0,0.0,0.0,,,,,,,,37169,93771,34462,0,0,0,12,17
Deaths,12/18/2021,All,6.3,1.5,0.2,4.2,31.5,9.6,1.8,0.1,5.3,89.9,829865,1210623,447192,52,18,1,999,999
Cases,04/02/2022,65-79,33.0,42.7,40.2,0.8,0.8,,,,,,48452,51564,159143,16,22,64,65,79
Deaths,12/10/2022,50-64,0.0,0.0,0.0,,,,,,,,35521,125371,246748,0,0,0,50,64
Hospitalizations,06/03/2023,30-49,0.9,1.1,0.9,0.8,1.0,,,,,,108436,278399,347302,1,3,3,30,49
Cases,11/05/2022,80+,146.6,193.5,197.5,0.8,0.7,,,,,,25236,11367,47086,37,22,93,80,200
Cases,07/09/2022,All,223.2,139.2,249.0,1.6,0.9,264.9,133.5,214.2,2.0,1.2,627781,862137,997177,1401,1200,2483,999,999
Cases,04/08/2023,5-11,18.7,13.3,4.7,1.4,4.0,,,,,,91121,82526,21223,17,11,1,5,11
Hospitalizations,09/16/2023,50-64,12.4,2.4,4.0,5.2,3.1,,,,,,32248,125721,246942,4,3,10,50,64
Hospitalizations,05/14/2022,12-17,8.0,0.0,0.0,,,,,,,,37341,94014,34086,3,0,0,12,17
Deaths,11/27/2021,50-64,7.6,0.4,0.0,19.0,,,,,,,66092,285061,63187,5,1,0,50,64
Deaths,06/26/2021,30-49,0.3,0.0,,,,,,,,,289323,463639,,1,0,,30,49
Hospitalizations,03/25/2023,30-49,6.4,3.6,2.6,1.8,2.5,,,,,,110064,278072,347275,7,10,9,30,49
Cases,07/02/2022,50-64,462.8,177.4,235.6,2.6,2.0,,,,,,41916,129677,240221,194,230,566,50,64
Deaths,02/18/2023,65-79,0.0,0.0,0.0,,,,,,,,40129,43398,171695,0,0,0,65,79
Cases,12/25/2021,50-64,2182.1,1041.7,639.2,2.1,3.4,,,,,,58797,223663,129378,1283,2330,827,50,64
Hospitalizations,03/19/2022,30-49,6.7,2.0,1.2,3.4,5.6,,,,,,133820,292802,320838,9,6,4,30,49
Cases,10/09/2021,18-29,182.2,55.9,,3.3,,,,,,,172892,311257,,315,174,,18,29
Cases,05/22/2021,65-79,81.7,14.6,,5.6,,,,,,,79541,171129,,65,25,,65,79
Deaths,12/25/2021,30-49,2.9,0.0,0.0,,,,,,,,172845,404756,175179,5,0,0,30,49
Deaths,04/29/2023,5-11,0.0,0.0,0.0,,,,,,,,90894,82652,21236,0,0,0,5,11
Hospitalizations,03/19/2022,12-17,2.6,1.0,0.0,2.6,,,,,,,38626,96018,29614,1,1,0,12,17
Cases,12/04/2021,0-4,181.4,,,,,,,,,,162642,,,295,,,0,4
Deaths,10/16/2021,50-64,2.6,0.6,,4.3,,,,,,,75689,329389,,2,2,,50,64
Deaths,10/02/2021,30-49,2.3,0.0,,,,,,,,,218778,533019,,5,0,,30,49
Deaths,09/02/2023,65-79,0.0,0.0,0.0,,,,,,,,39162,43414,171755,0,0,0,65,79
Cases,07/17/2021,12-17,40.1,5.2,,7.7,,,,,,,102168,57846,,41,3,,12,17
Hospitalizations,11/05/2022,65-79,54.4,36.9,16.9,1.5,3.2,,,,,,42281,43326,171562,23,16,29,65,79
Hospitalizations,10/14/2023,30-49,2.9,1.1,0.3,2.6,9.7,,,,,,104020,278747,347612,3,3,1,30,49
Deaths,01/07/2023,All,0.9,0.1,0.6,9.0,1.5,1.3,0.3,0.4,4.3,3.1,553739,854331,1040190,5,1,6,999,999
Hospitalizations,10/14/2023,12-17,0.0,0.0,0.0,,,,,,,,31636,86569,44606,0,0,0,12,17
Deaths,04/16/2022,80+,3.7,0.0,0.0,,,,,,,,26947,13608,43669,1,0,0,80,200
Deaths,11/18/2023,All,0.0,0.0,0.1,,0.0,0.0,0.0,0.1,,0.0,507068,862707,1047121,0,0,1,999,999
Cases,04/03/2021,65-79,120.8,18.5,,6.5,,,,,,,105935,91962,,128,17,,65,79
Deaths,06/11/2022,18-29,0.0,0.0,0.0,,,,,,,,94634,215581,154206,0,0,0,18,29
Deaths,08/20/2022,30-49,0.0,0.0,0.0,,,,,,,,125684,277226,344772,0,0,0,30,49
Cases,05/28/2022,80+,142.7,195.7,242.0,0.7,0.6,,,,,,26624,12774,45035,38,25,109,80,200
Hospitalizations,02/05/2022,12-17,0.0,0.0,0.0,,,,,,,,42597,97526,18212,0,0,0,12,17
Cases,10/15/2022,12-17,95.2,48.9,45.0,1.9,2.1,,,,,,34672,85875,44459,33,42,20,12,17
Hospitalizations,11/11/2023,65-79,26.6,4.5,15.7,5.9,1.7,,,,,,37622,44141,172402,10,2,27,65,79
Hospitalizations,11/20/2021,65-79,81.6,14.2,1.4,5.7,58.3,,,,,,56364,133667,69658,46,19,1,65,79
Hospitalizations,11/26/2022,80+,79.9,105.5,63.7,0.8,1.3,,,,,,25033,11373,47096,20,12,30,80,200
Cases,06/24/2023,0-4,8.6,1.2,,7.2,,,,,,,162642,,,14,2,,0,4
Hospitalizations,03/05/2022,5-11,0.9,0.0,,,,,,,,,105610,83554,,1,0,,5,11
Hospitalizations,03/26/2022,12-17,0.0,0.0,0.0,,,,,,,,38433,95876,30389,0,0,0,12,17
Cases,07/31/2021,18-29,175.9,73.3,,2.4,,,,,,,210867,279504,,371,205,,18,29
Deaths,10/16/2021,80+,13.2,0.0,,,,,,,,,30320,49996,,4,0,,80,200
Hospitalizations,10/28/2023,65-79,7.9,9.1,9.9,0.9,0.8,,,,,,37995,43884,172161,3,4,17,65,79
Hospitalizations,06/17/2023,5-11,0.0,0.0,0.0,,,,,,,,90426,82681,21245,0,0,0,5,11
Deaths,07/30/2022,65-79,0.0,0.0,1.8,,0.0,,,,,,45965,45025,169088,0,0,3,65,79
Deaths,11/19/2022,All,0.9,0.1,0.2,9.0,4.5,0.7,0.3,0.1,2.3,4.7,567313,849096,1039651,5,1,2,999,999
Hospitalizations,08/20/2022,18-29,7.7,5.2,1.9,1.5,4.1,,,,,,91431,212198,159858,7,11,3,18,29
Cases,09/11/2021,All,188.9,71.2,,2.7,,204.9,57.9,,3.5,,1046939,1475716,,1978,1050,,999,999
Deaths,04/09/2022,65-79,2.1,0.0,0.6,,3.5,,,,,,48264,51105,159712,1,0,1,65,79
Deaths,03/25/2023,80+,0.0,8.8,2.1,0.0,0.0,,,,,,24648,11381,47126,0,1,1,80,200
Deaths,11/19/2022,50-64,0.0,0.0,0.0,,,,,,,,36276,125309,246713,0,0,0,50,64
Deaths,09/16/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Deaths,10/22/2022,80+,0.0,0.0,2.1,,0.0,,,,,,25467,11367,47073,0,0,1,80,200
Hospitalizations,01/28/2023,50-64,11.7,4.8,6.1,2.4,1.9,,,,,,34286,125502,246842,4,6,15,50,64
Cases,06/24/2023,50-64,33.6,6.4,11.3,5.2,3.0,,,,,,32713,125736,246925,11,8,28,50,64
Hospitalizations,05/14/2022,All,10.4,5.3,7.0,2.0,1.5,12.3,7.2,5.0,1.7,2.5,646969,886432,961158,67,47,67,999,999
Cases,10/29/2022,12-17,142.3,74.4,83.2,1.9,1.7,,,,,,34446,85966,44479,49,64,37,12,17
Cases,04/30/2022,80+,59.6,157.6,124.6,0.4,0.5,,,,,,26860,13328,44158,16,21,55,80,200
Cases,09/18/2021,12-17,266.6,35.6,,7.5,,,,,,,71650,87028,,191,31,,12,17
Deaths,05/15/2021,All,3.0,0.2,,15.0,,4.3,0.1,,38.6,,1387913,925369,,41,2,,999,999
Deaths,04/30/2022,65-79,0.0,0.0,0.0,,,,,,,,47714,49691,162052,0,0,0,65,79
Hospitalizations,10/21/2023,80+,16.5,17.4,55.1,0.9,0.3,,,,,,24189,11483,47191,4,2,26,80,200
Hospitalizations,08/14/2021,All,15.8,3.3,,4.8,,22.3,2.5,,9.0,,1110584,1424722,,175,47,,999,999
Hospitalizations,05/20/2023,5-11,0.0,0.0,0.0,,,,,,,,90666,82678,21243,0,0,0,5,11
Cases,01/14/2023,12-17,143.2,74.2,80.8,1.9,1.8,,,,,,33518,86264,44538,48,64,36,12,17
Cases,06/18/2022,65-79,214.2,175.2,169.9,1.2,1.3,,,,,,46695,46794,166552,100,82,283,65,79
Deaths,06/04/2022,12-17,0.0,0.0,0.0,,,,,,,,36941,93128,35358,0,0,0,12,17
Hospitalizations,11/26/2022,12-17,5.9,0.0,2.2,,2.7,,,,,,34061,86072,44511,2,0,1,12,17
Hospitalizations,08/21/2021,18-29,10.1,0.3,,33.7,,,,,,,197658,288634,,20,1,,18,29
Cases,03/04/2023,30-49,129.3,61.2,83.2,2.1,1.6,,,,,,110600,277895,347260,143,170,289,30,49
Deaths,04/08/2023,80+,4.1,0.0,0.0,,,,,,,,24622,11383,47126,1,0,0,80,200
Cases,09/16/2023,65-79,74.1,73.7,78.6,1.0,0.9,,,,,,39123,43414,171757,29,32,135,65,79
Deaths,01/22/2022,5-11,0.0,0.0,,,,,,,,,119848,54870,,0,0,,5,11
Hospitalizations,04/10/2021,18-29,5.7,1.8,,3.2,,,,,,,353270,54598,,20,1,,18,29
Hospitalizations,08/26/2023,All,5.5,1.9,4.4,2.9,1.2,7.0,2.5,2.9,2.8,2.4,527758,860290,1040810,29,16,46,999,999
Deaths,11/06/2021,All,1.9,0.3,0.0,6.3,,2.8,0.3,0.0,8.2,,953486,1465628,120427,18,5,0,999,999
Cases,04/09/2022,12-17,120.8,79.7,122.6,1.5,1.0,,,,,,38070,95325,31808,46,76,39,12,17
Hospitalizations,06/12/2021,50-64,16.1,0.7,,23.0,,,,,,,117767,280325,,19,2,,50,64
Hospitalizations,04/22/2023,18-29,1.3,0.0,0.0,,,,,,,,75636,214023,161683,1,0,0,18,29
Cases,10/21/2023,65-79,68.1,36.6,53.5,1.9,1.3,,,,,,38192,43745,172021,26,16,92,65,79
Hospitalizations,01/07/2023,30-49,16.0,4.3,3.5,3.7,4.6,,,,,,112744,277305,347207,18,12,12,30,49
Hospitalizations,07/10/2021,12-17,0.0,0.0,,,,,,,,,105323,53689,,0,0,,12,17
Hospitalizations,09/10/2022,30-49,10.4,3.6,2.9,2.9,3.6,,,,,,124669,276027,346520,13,10,10,30,49
Cases,10/01/2022,5-11,69.7,76.1,150.6,0.9,0.5,,,,,,94700,81441,19254,66,62,29,5,11
Deaths,06/03/2023,30-49,0.0,0.4,0.0,0.0,,,,,,,108436,278399,347302,0,1,0,30,49
Deaths,05/20/2023,80+,8.1,0.0,2.1,,3.9,,,,,,24557,11384,47128,2,0,1,80,200
Hospitalizations,10/22/2022,65-79,30.2,27.7,16.9,1.1,1.8,,,,,,43032,43378,171472,13,12,29,65,79
Cases,09/09/2023,18-29,99.7,18.7,30.9,5.3,3.2,,,,,,73215,214129,161722,73,40,50,18,29
Cases,03/19/2022,18-29,85.1,32.2,68.2,2.6,1.2,,,,,,99842,220707,143769,85,71,98,18,29
Cases,05/28/2022,18-29,410.2,169.2,402.3,2.4,1.0,,,,,,95327,216374,152861,391,366,615,18,29
Hospitalizations,06/19/2021,12-17,0.0,0.0,,,,,,,,,114743,24556,,0,0,,12,17
Deaths,05/21/2022,65-79,2.1,2.1,1.2,1.0,1.8,,,,,,47243,48398,164100,1,1,2,65,79
Deaths,10/16/2021,30-49,2.9,0.0,,,,,,,,,210412,535672,,6,0,,30,49
Hospitalizations,06/05/2021,12-17,0.8,0.0,,,,,,,,,122939,11914,,1,0,,12,17
Cases,04/30/2022,5-11,191.1,316.1,,0.6,,,,,,,102021,93311,,195,295,,5,11
Hospitalizations,11/04/2023,18-29,2.9,0.9,1.2,3.2,2.4,,,,,,69457,215124,162370,2,2,2,18,29
Cases,02/26/2022,30-49,88.7,31.0,61.2,2.9,1.4,,,,,,136458,296367,310294,121,92,190,30,49
Deaths,06/18/2022,5-11,0.0,0.0,0.0,,,,,,,,99854,91897,4155,0,0,0,5,11
Hospitalizations,12/04/2021,65-79,149.2,36.0,5.3,4.1,28.2,,,,,,54957,111079,93634,82,40,5,65,79
Cases,05/20/2023,12-17,43.0,17.3,20.2,2.5,2.1,,,,,,32543,86583,44578,14,15,9,12,17
Cases,05/14/2022,50-64,581.2,202.5,340.2,2.9,1.7,,,,,,43533,133809,234246,253,271,797,50,64
Cases,04/30/2022,12-17,255.2,147.2,173.8,1.7,1.5,,,,,,37619,94445,33365,96,139,58,12,17
Hospitalizations,03/19/2022,65-79,14.4,5.7,5.1,2.5,2.8,,,,,,48719,52553,157887,7,3,8,65,79
Deaths,08/28/2021,All,2.0,0.3,,6.7,,2.8,0.2,,12.1,,1076102,1450111,,22,4,,999,999
Cases,04/10/2021,30-49,339.1,26.7,,12.7,,,,,,,455598,123661,,1545,33,,30,49
Deaths,07/30/2022,18-29,0.0,0.0,0.0,,,,,,,,92439,213184,158188,0,0,0,18,29
Hospitalizations,03/12/2022,30-49,4.5,2.7,0.9,1.7,5.0,,,,,,134617,294114,317904,6,8,3,30,49
Deaths,06/24/2023,12-17,0.0,0.0,0.0,,,,,,,,32320,86578,44587,0,0,0,12,17
Cases,06/25/2022,80+,177.5,162.9,220.6,1.1,0.8,,,,,,26485,12274,45782,47,20,101,80,200
Cases,04/16/2022,All,117.0,76.9,186.8,1.5,0.6,133.5,70.3,162.4,1.9,0.8,653769,896402,943061,765,689,1762,999,999
Cases,03/19/2022,All,56.2,33.2,52.5,1.7,1.1,63.9,31.4,45.1,2.0,1.4,662148,905646,919703,372,301,483,999,999
Deaths,09/10/2022,12-17,0.0,0.0,0.0,,,,,,,,35208,85939,44085,0,0,0,12,17
Hospitalizations,08/06/2022,12-17,5.6,0.0,0.0,,,,,,,,35790,89217,40287,2,0,0,12,17
Cases,04/02/2022,5-11,61.9,131.9,,0.5,,,,,,,103457,90969,,64,120,,5,11
Deaths,04/22/2023,18-29,0.0,0.0,0.0,,,,,,,,75636,214023,161683,0,0,0,18,29
Cases,09/24/2022,18-29,159.5,42.1,89.8,3.8,1.8,,,,,,89038,211579,161435,142,89,145,18,29
Hospitalizations,09/24/2022,30-49,10.6,2.5,2.0,4.2,5.3,,,,,,122951,275932,346890,13,7,7,30,49
Deaths,08/14/2021,30-49,1.2,0.0,,,,,,,,,254572,504735,,3,0,,30,49
Cases,11/19/2022,65-79,163.0,131.5,141.6,1.2,1.2,,,,,,41725,43336,171598,68,57,243,65,79
Deaths,12/10/2022,12-17,0.0,0.0,0.0,,,,,,,,33887,86131,44514,0,0,0,12,17
Hospitalizations,03/12/2022,12-17,0.0,0.0,0.0,,,,,,,,38897,95971,28723,0,0,0,12,17
Deaths,01/21/2023,30-49,0.0,0.0,0.0,,,,,,,,112078,277463,347220,0,0,0,30,49
Hospitalizations,08/14/2021,65-79,41.4,9.8,,4.2,,,,,,,67653,193586,,28,19,,65,79
Hospitalizations,04/15/2023,5-11,2.2,0.0,4.7,,0.5,,,,,,91051,82568,21228,2,0,1,5,11
Hospitalizations,04/17/2021,65-79,58.3,8.0,,7.3,,,,,,,94416,124678,,55,10,,65,79
Cases,10/21/2023,5-11,12.3,6.1,18.7,2.0,0.7,,,,,,89096,82596,21371,11,5,4,5,11
Cases,03/26/2022,12-17,57.2,38.6,95.4,1.5,0.6,,,,,,38433,95876,30389,22,37,29,12,17
Hospitalizations,07/15/2023,18-29,0.0,0.0,0.0,,,,,,,,74031,214138,161706,0,0,0,18,29
Deaths,10/09/2021,30-49,1.4,0.0,,,,,,,,,214640,537114,,3,0,,30,49
Deaths,06/04/2022,50-64,2.3,0.0,0.0,,,,,,,,42758,131758,237215,1,0,0,50,64
Deaths,12/17/2022,5-11,0.0,0.0,0.0,,,,,,,,92628,81328,21134,0,0,0,5,11
Cases,11/04/2023,12-17,15.8,16.2,17.9,1.0,0.9,,,,,,31567,86534,44661,5,14,8,12,17
Hospitalizations,03/04/2023,80+,36.5,61.5,50.9,0.6,0.7,,,,,,24686,11377,47125,9,7,24,80,200
Cases,07/01/2023,5-11,4.4,2.4,0.0,1.8,,,,,,,90262,82673,21253,4,2,0,5,11
Cases,11/26/2022,50-64,354.9,98.9,119.2,3.6,3.0,,,,,,36067,125335,246724,128,124,294,50,64
Hospitalizations,06/25/2022,12-17,5.5,1.1,2.7,5.0,2.0,,,,,,36604,92093,36756,2,1,1,12,17
Cases,08/13/2022,5-11,84.8,71.4,100.6,1.2,0.8,,,,,,96738,85405,12921,82,61,13,5,11
Cases,12/25/2021,30-49,2493.6,1654.3,1139.4,1.5,2.2,,,,,,172845,404756,175179,4310,6696,1996,30,49
Deaths,01/21/2023,80+,8.1,0.0,6.4,,1.3,,,,,,24751,11374,47117,2,0,3,80,200
Cases,09/24/2022,30-49,122.8,58.7,94.8,2.1,1.3,,,,,,122951,275932,346890,151,162,329,30,49
Deaths,11/11/2023,50-64,0.0,0.0,0.4,,0.0,,,,,,30308,125745,247813,0,0,1,50,64
Deaths,01/14/2023,30-49,0.0,0.0,0.0,,,,,,,,112361,277385,347213,0,0,0,30,49
Cases,10/22/2022,30-49,146.1,63.7,84.4,2.3,1.7,,,,,,119057,276343,347017,174,176,293,30,49
Hospitalizations,10/29/2022,0-4,2.5,0.0,,,,,,,,,162642,,,4,0,,0,4
Deaths,08/28/2021,65-79,9.1,0.0,,,,,,,,,65885,194871,,6,0,,65,79
Hospitalizations,02/12/2022,12-17,2.4,1.0,4.6,2.4,0.5,,,,,,41212,95886,21795,1,1,1,12,17
Hospitalizations,09/03/2022,All,13.7,5.8,10.4,2.4,1.3,17.8,8.0,7.2,2.2,2.5,604544,842367,1030965,83,49,107,999,999
Cases,11/05/2022,0-4,77.5,4.9,,15.8,,,,,,,162642,,,126,8,,0,4
Cases,09/23/2023,30-49,68.6,25.5,38.9,2.7,1.8,,,,,,106401,278395,347328,73,71,135,30,49
Deaths,11/13/2021,All,1.7,1.1,0.6,1.5,2.8,2.7,1.0,0.2,2.7,16.2,918456,1426503,169151,16,15,1,999,999
Hospitalizations,11/18/2023,5-11,2.3,0.0,0.0,,,,,,,,88375,81993,22205,2,0,0,5,11
Hospitalizations,06/12/2021,12-17,1.7,0.0,,,,,,,,,118282,13905,,2,0,,12,17
Cases,05/29/2021,18-29,82.7,3.4,,24.3,,,,,,,246752,207387,,204,7,,18,29
Deaths,07/09/2022,50-64,0.0,0.0,0.4,,0.0,,,,,,41738,129197,240866,0,0,1,50,64
Deaths,12/03/2022,80+,12.0,26.4,0.0,0.5,,,,,,,24971,11375,47102,3,3,0,80,200
Cases,07/31/2021,50-64,131.3,39.2,,3.3,,,,,,,99806,313577,,131,123,,50,64
Deaths,02/04/2023,80+,4.0,0.0,4.2,,1.0,,,,,,24721,11375,47121,1,0,2,80,200
Cases,07/02/2022,30-49,337.8,163.1,301.5,2.1,1.1,,,,,,127872,280840,339580,432,458,1024,30,49
Hospitalizations,03/26/2022,65-79,6.2,5.8,5.0,1.1,1.2,,,,,,48633,52066,158525,3,3,8,65,79
Hospitalizations,09/02/2023,0-4,1.8,0.0,,,,,,,,,162642,,,3,0,,0,4
Cases,04/03/2021,80+,85.5,15.2,,5.6,,,,,,,42122,26360,,36,4,,80,200
Deaths,11/04/2023,All,0.2,0.0,0.2,,1.0,0.2,0.0,0.1,,1.9,512405,862552,1044756,1,0,2,999,999
Cases,07/09/2022,30-49,313.5,159.1,275.9,2.0,1.1,,,,,,127602,280376,340282,400,446,939,30,49
Deaths,02/25/2023,80+,4.0,8.8,0.0,0.5,,,,,,,24695,11378,47124,1,1,0,80,200
Deaths,08/05/2023,All,0.0,0.0,0.0,,,0.0,0.0,0.0,,,529533,860315,1040778,0,0,0,999,999
Hospitalizations,11/18/2023,18-29,1.5,1.4,1.2,1.1,1.2,,,,,,68264,215430,162672,1,3,2,18,29
Hospitalizations,03/05/2022,50-64,8.6,3.5,0.9,2.5,9.6,,,,,,46352,143917,219986,4,5,2,50,64
Deaths,04/29/2023,30-49,0.9,0.0,0.0,,,,,,,,109218,278370,347292,1,0,0,30,49
Deaths,09/30/2023,65-79,0.0,0.0,0.6,,0.0,,,,,,38891,43410,171762,0,0,1,65,79
Deaths,01/21/2023,All,0.7,0.0,0.3,,2.3,0.7,0.0,0.2,,3.4,550760,855236,1040253,4,0,3,999,999
Cases,03/19/2022,65-79,34.9,22.8,29.1,1.5,1.2,,,,,,48719,52553,157887,17,12,46,65,79
Cases,10/08/2022,50-64,214.8,63.9,108.7,3.4,2.0,,,,,,38636,125178,246593,83,80,268,50,64
Hospitalizations,07/02/2022,65-79,36.6,21.7,17.3,1.7,2.1,,,,,,46481,46183,167465,17,10,29,65,79
Hospitalizations,07/22/2023,18-29,0.0,0.5,0.0,0.0,,,,,,,73902,214135,161709,0,1,0,18,29
Hospitalizations,07/02/2022,5-11,2.0,2.2,0.0,0.9,,,,,,,99299,90057,6610,2,2,0,5,11
Hospitalizations,06/17/2023,18-29,1.3,0.5,0.0,2.6,,,,,,,74493,214135,161700,1,1,0,18,29
Hospitalizations,12/25/2021,65-79,223.2,117.7,20.0,1.9,11.2,,,,,,52868,86648,119716,118,102,24,65,79
Hospitalizations,09/18/2021,50-64,71.3,3.4,,21.0,,,,,,,82757,327000,,59,11,,50,64
Hospitalizations,12/24/2022,18-29,10.0,4.2,0.6,2.4,16.7,,,,,,79625,212863,161605,8,9,1,18,29
Cases,11/26/2022,80+,147.8,219.8,233.6,0.7,0.6,,,,,,25033,11373,47096,37,25,110,80,200
Deaths,02/25/2023,12-17,0.0,0.0,0.0,,,,,,,,33176,86371,44558,0,0,0,12,17
Cases,04/09/2022,All,106.1,80.7,150.5,1.3,0.7,111.8,74.9,132.6,1.5,0.8,655822,898944,937807,696,725,1411,999,999
Cases,10/08/2022,All,105.2,62.2,93.1,1.7,1.1,127.4,63.6,83.5,2.0,1.5,588205,843467,1037728,619,525,966,999,999
Cases,09/24/2022,5-11,88.5,82.0,112.2,1.1,0.8,,,,,,94919,81672,18722,84,67,21,5,11
Cases,07/08/2023,12-17,6.2,0.0,0.0,,,,,,,,32241,86577,44590,2,0,0,12,17
Cases,02/26/2022,65-79,61.1,32.8,40.0,1.9,1.5,,,,,,49070,54948,154842,30,18,62,65,79
Cases,11/18/2023,18-29,73.2,23.2,28.3,3.2,2.6,,,,,,68264,215430,162672,50,50,46,18,29
Cases,11/18/2023,12-17,41.3,16.2,29.1,2.5,1.4,,,,,,31480,86496,44716,13,14,13,12,17
Cases,05/29/2021,12-17,42.9,11.3,,3.8,,,,,,,128173,8885,,55,1,,12,17
Hospitalizations,01/08/2022,0-4,21.5,,,,,,,,,,162642,,,35,,,0,4
Deaths,06/19/2021,12-17,0.0,0.0,,,,,,,,,114743,24556,,0,0,,12,17
Hospitalizations,05/27/2023,18-29,0.0,0.0,0.0,,,,,,,,74841,214134,161693,0,0,0,18,29
Cases,10/21/2023,30-49,54.2,21.2,21.6,2.6,2.5,,,,,,103249,278946,347858,56,59,75,30,49
Hospitalizations,04/30/2022,80+,22.3,67.5,27.2,0.3,0.8,,,,,,26860,13328,44158,6,9,12,80,200
Hospitalizations,04/15/2023,18-29,2.6,1.9,0.6,1.4,4.3,,,,,,75787,213968,161682,2,4,1,18,29
Cases,08/13/2022,All,222.9,122.8,203.5,1.8,1.1,263.6,119.4,173.6,2.2,1.5,611563,848751,1018396,1363,1042,2072,999,999
Hospitalizations,03/18/2023,12-17,0.0,1.2,0.0,0.0,,,,,,,33016,86456,44563,0,1,0,12,17
Cases,11/27/2021,All,242.4,101.3,32.8,2.4,7.4,281.9,82.4,26.7,3.4,10.5,879918,1338551,274264,2133,1356,90,999,999
Cases,11/27/2021,50-64,397.9,87.7,30.1,4.5,13.2,,,,,,66092,285061,63187,263,250,19,50,64
Hospitalizations,01/28/2023,5-11,0.0,0.0,0.0,,,,,,,,91930,81866,21179,0,0,0,5,11
Deaths,08/19/2023,65-79,0.0,0.0,0.6,,0.0,,,,,,39214,43417,171752,0,0,1,65,79
Deaths,12/25/2021,All,7.6,2.8,1.0,2.7,7.6,10.9,3.2,0.4,3.4,26.9,814632,1161444,517372,62,32,5,999,999
Deaths,07/01/2023,All,0.0,0.0,0.1,,0.0,0.0,0.0,0.1,,0.0,532370,860333,1040733,0,0,1,999,999
Deaths,11/20/2021,All,1.9,0.7,0.5,2.7,3.8,3.0,0.7,0.2,4.1,16.7,893891,1383374,221328,17,9,1,999,999
Cases,06/03/2023,65-79,20.3,11.5,26.2,1.8,0.8,,,,,,39483,43434,171732,8,5,45,65,79
Cases,04/09/2022,30-49,118.7,62.5,225.3,1.9,0.5,,,,,,132219,289629,326607,157,181,736,30,49
Hospitalizations,01/29/2022,80+,123.8,137.9,45.1,0.9,2.7,,,,,,27458,16677,39936,34,23,18,80,200
Hospitalizations,07/24/2021,12-17,0.0,0.0,,,,,,,,,98632,61084,,0,0,,12,17
Hospitalizations,10/01/2022,65-79,24.8,18.4,14.0,1.3,1.8,,,,,,44363,43409,171376,11,8,24,65,79
Cases,10/08/2022,30-49,129.6,55.0,75.5,2.4,1.7,,,,,,121106,276136,346953,157,152,262,30,49
Deaths,07/08/2023,80+,0.0,0.0,2.1,,0.0,,,,,,24498,11383,47130,0,0,1,80,200
Cases,08/26/2023,12-17,18.9,21.9,20.2,0.9,0.9,,,,,,31822,86575,44594,6,19,9,12,17
Hospitalizations,10/21/2023,18-29,2.8,0.0,0.6,,4.7,,,,,,70650,214710,162045,2,0,1,18,29
Deaths,12/25/2021,5-11,0.0,0.0,,,,,,,,,143394,37144,,0,0,,5,11
Deaths,02/04/2023,All,0.5,0.1,0.4,5.0,1.2,0.8,0.1,0.3,6.7,3.1,548376,856091,1040343,3,1,4,999,999
Cases,01/22/2022,80+,453.3,549.2,338.2,0.8,1.3,,,,,,27573,17479,39032,125,96,132,80,200
Hospitalizations,01/01/2022,All,105.7,49.6,20.9,2.1,5.1,143.9,55.1,12.8,2.6,11.2,797277,1104766,587380,843,548,123,999,999
Hospitalizations,12/18/2021,18-29,43.3,4.2,0.0,10.3,,,,,,,143348,288118,46808,62,12,0,18,29
Deaths,05/20/2023,30-49,0.0,0.0,0.0,,,,,,,,108712,278401,347297,0,0,0,30,49
Hospitalizations,11/05/2022,30-49,15.3,3.6,2.9,4.2,5.3,,,,,,117430,276538,347053,18,10,10,30,49
Cases,11/25/2023,12-17,38.2,10.4,11.2,3.7,3.4,,,,,,31452,86469,44749,12,9,5,12,17
Cases,08/21/2021,30-49,286.6,118.0,,2.4,,,,,,,249126,508434,,714,600,,30,49
Deaths,02/11/2023,65-79,2.5,4.6,0.6,0.5,4.2,,,,,,40183,43393,171693,1,2,1,65,79
Hospitalizations,06/03/2023,5-11,0.0,0.0,4.7,,0.0,,,,,,90556,82682,21243,0,0,1,5,11
Deaths,06/25/2022,5-11,0.0,0.0,0.0,,,,,,,,99599,91151,5230,0,0,0,5,11
Cases,10/22/2022,12-17,170.8,46.6,51.7,3.7,3.3,,,,,,34553,85923,44472,59,40,23,12,17
Cases,05/22/2021,All,109.7,11.3,,9.7,,120.5,8.1,,14.9,,1335903,1010820,,1465,114,,999,999
Hospitalizations,06/04/2022,80+,63.9,63.4,81.7,1.0,0.8,,,,,,26586,12627,45272,17,8,37,80,200
Deaths,06/24/2023,18-29,0.0,0.0,0.0,,,,,,,,74402,214137,161700,0,0,0,18,29
